15,10,3g,0,2.5,z,0,2,s,0,2,s,0,2.5,z,0,2.5,g,0,3,z,0,2,s,0,3,g,0,1,g,0,2,s,0,1.5,g
14,1,3g,1,1.5,z,3,0.5,s,0,2,g,3,2,s,0,2.5,g,1,3,z,3,3,z,3,1,z,0,1,g,3,1,z,2,2,z
15,1,3g,0,1.5,g,1,4,g,3,2,s,3,2.5,z,0,3,z,2,1.5,g,1,1,g,3,0.5,z,0,1,g,2,2,g,2,3.5,z
17,7,4g,0,2.5,z,1,2,g,1,3,s,3,2,z,0,3,g,3,2,z,3,2,s,3,0.5,z,0,1,g,3,3,g,1,2.5,z
17,3,4g,2,2.5,z,0,3,s,3,1,z,1,3,g,2,2,z,0,4,z,3,2,z,3,2,z,3,2,g,3,3,z,3,2.5,z
17,3,4g,0,1.5,z,0,2,s,2,3,z,1,2,s,1,3,z,3,3,z,2,2,z,3,2,z,0,1,g,3,2,s,2,3,g
17,3,4g,1,2.5,z,2,4,z,3,3.5,z,3,1,z,3,3.5,z,2,2,z,2,3,z,3,1,z,0,1,g,2,2,g,0,2.5,z
15,1,3g,1,2.5,z,2,2,s,3,1,z,3,3,z,2,2,z,3,3,z,2,2.5,s,3,0.5,z,2,1,g,3,2,g,3,3,g
17,3,4g,0,2.5,z,2,2.5,g,3,3,g,3,1,z,0,2.5,z,1,2,g,3,1,g,3,3.5,z,0,1,g,3,0.5,z,2,3.5,z
13,8,4z,0,2.5,z,1,2,s,0,3,s,2,3.5,g,0,3,g,0,3,z,0,3,s,0,0.5,g,0,1,g,1,2.5,g,0,3.5,z
16,5,1g,0,2.5,g,2,2.5,z,2,1,z,2,0.5,s,3,0.5,z,1,0.5,z,3,0.5,z,3,0.5,z,0,1,g,0,4,z,0,1.5,z
11,1,4z,0,2.5,z,3,3.5,g,3,1.5,s,2,2.5,s,2,2,z,1,3,z,3,1.5,g,3,2.5,s,2,3.5,g,3,4,g,2,3,z
12,6,3z,0,2.5,z,3,4,g,0,2,z,3,4,g,1,2,z,3,1.5,s,0,1,s,0,2,s,3,4,g,1,2,s,0,1.5,s
16,10,3g,0,2.5,z,0,2,s,1,3,s,2,2,g,1,2,s,0,3,z,0,2,s,1,2,s,3,4,g,0,4,z,0,3.5,z
18,8,1g,0,2.5,z,0,2,s,0,0.5,g,1,3,g,1,3.5,g,1,3,z,0,2,s,0,3,g,0,1,g,0,4,z,1,3.5,g
19,8,1g,1,0.5,g,1,3,s,1,3,g,1,3,g,0,1.5,g,2,3,g,0,2,s,3,2.5,g,0,1,g,3,3.5,s,0,1.5,g
18,8,1g,0,2.5,z,0,2,g,0,3,g,2,4,z,0,2.5,z,3,3,z,0,3,s,0,3,g,0,1,g,2,2,s,0,2.5,z
12,1,4z,0,2.5,g,0,4,g,2,2,z,2,1,z,1,2,z,0,3,z,3,2,g,3,2,g,2,2,g,3,1,g,0,3.5,g
14,5,4z,0,2.5,z,2,3,s,3,1,g,3,2,g,3,2.5,g,1,1,z,2,2,s,3,4,g,2,2,g,3,3,g,0,2.5,z
19,4,3g,0,1.5,z,1,2,s,3,4,z,0,3,g,0,2,g,2,2,z,0,3,s,3,1,z,0,1,g,3,4,z,0,2.5,z
14,4,4z,0,3.5,z,1,2,s,2,1,z,3,2,g,3,3,z,3,2,s,2,0.5,g,2,2,s,2,2.5,g,3,1,g,0,2.5,z
14,1,3g,0,2.5,z,3,0.5,z,0,3,z,2,0.5,z,2,2,z,0,3,s,2,2,z,2,4,z,1,4,g,2,3,z,2,0.5,z
15,5,1g,0,2.5,z,0,2,s,3,4,g,2,2.5,g,0,1.5,z,1,3,z,0,2,s,3,1,z,0,1,g,0,4,z,0,2.5,z
14,8,4z,0,2.5,z,2,3,g,3,2,g,3,1,g,2,3,z,2,2.5,z,3,2,g,0,2,s,2,2.5,g,3,2.5,g,0,2.5,z
13,7,4z,0,1.5,z,1,2,s,1,3,s,3,3,g,2,2,g,0,3,g,0,2,s,0,2,s,2,2,g,0,4,g,0,1.5,z
12,3,4z,0,3.5,z,1,3,g,1,2,g,3,4,g,3,1,z,2,1,g,2,1,g,3,0.5,g,1,1.5,g,1,3,g,2,1.5,g
12,2,4z,0,3.5,z,2,2,s,3,1,g,2,2,s,3,1,g,3,4,g,3,3,g,3,4,g,2,2,s,0,3,s,0,2,s
12,2,4z,0,3.5,z,2,2.5,g,2,2,s,2,2,s,2,3,z,3,3,z,2,2,s,1,2,s,3,3.5,g,2,2,z,1,3,s
12,7,4z,0,2.5,z,1,2,s,0,3,z,3,3,g,1,3,z,0,3,z,0,2,s,0,2,g,3,3,g,2,4,g,0,2.5,z
13,7,4z,0,1.5,z,0,3,s,2,3.5,g,2,3.5,g,0,1.5,g,3,3,g,2,3.5,g,2,3.5,g,3,3,z,0,3,z,0,1.5,z
15,1,3g,1,2.5,z,0,4,g,2,2,z,2,4,z,0,4,g,0,3,z,2,2,z,3,2,z,0,1,g,3,4,g,2,4,z
14,1,3g,1,0.5,z,0,2,s,0,2,g,2,1,s,2,1,g,3,4,z,2,2,g,3,1,g,2,2,z,3,1,z,3,2,g
